close,high,low,open,time,volume
2.1289,2.1323,2.1249,2.1319,1749841200,54183
2.1322,2.1357,2.1263,2.1315,1749840900,85032
2.1314,2.1314,2.1225,2.1246,1749840600,42929
2.1246,2.1279,2.1184,2.1194,1749840300,63485
2.1189,2.1202,2.1157,2.1172,1749840000,41905
2.1179,2.1246,2.1164,2.1229,1749839700,99708
2.1221,2.1279,2.1198,2.1269,1749839400,226477
2.1276,2.1329,2.1256,2.1329,1749839100,48154
2.1332,2.1357,2.1271,2.129,1749838800,48366
2.129,2.1354,2.127,2.1344,1749838500,89254
2.1345,2.1386,2.1342,2.138,1749838200,34896
2.138,2.1439,2.1364,2.1431,1749837900,35283
2.1418,2.1489,2.1395,2.1463,1749837600,90487
2.1466,2.1478,2.1398,2.1398,1749837300,72325
2.1397,2.1421,2.1338,2.1338,1749837000,75754
2.1346,2.138,2.1311,2.138,1749836700,125893
2.1379,2.1435,2.1379,2.1427,1749836400,22413
2.1433,2.1435,2.1355,2.1391,1749836100,56035
2.1378,2.1412,2.1369,2.1374,1749835800,39513
2.1378,2.1441,2.137,2.1433,1749835500,43763
2.1433,2.1455,2.1399,2.14,1749835200,26194
2.1416,2.1452,2.1377,2.144,1749834900,84671
2.1441,2.148,2.1425,2.1475,1749834600,49595
2.1481,2.149,2.1434,2.1468,1749834300,38840
2.1468,2.1522,2.1464,2.1522,1749834000,54366
2.1524,2.1532,2.1499,2.1501,1749833700,108375
2.1501,2.1502,2.1379,2.1382,1749833400,119120
2.1386,2.1448,2.1359,2.1448,1749833100,76102
2.1448,2.1453,2.1413,2.1442,1749832800,68330
2.1449,2.1505,2.1435,2.1502,1749832500,39885
2.1493,2.1526,2.1479,2.1509,1749832200,69581
2.1514,2.1549,2.1501,2.1542,1749831900,33344
2.1543,2.1565,2.1493,2.1545,1749831600,67096
2.1548,2.1591,2.1526,2.1572,1749831300,143554
2.1571,2.1589,2.1432,2.1436,1749831000,114472
2.1441,2.1455,2.1421,2.1433,1749830700,22957
2.1435,2.1465,2.141,2.1465,1749830400,46573
2.1459,2.1483,2.1435,2.148,1749830100,40612
2.1498,2.1521,2.1481,2.1499,1749829800,38446
2.1486,2.1525,2.1474,2.1509,1749829500,54099
2.1507,2.1516,2.147,2.147,1749829200,72454
2.1472,2.1497,2.1452,2.1483,1749828900,26744
2.1486,2.15,2.1461,2.1485,1749828600,28834
2.1477,2.1495,2.1439,2.1439,1749828300,30604
2.1448,2.1528,2.1429,2.1437,1749828000,197474
2.1437,2.1476,2.1426,2.1473,1749827700,115929
2.1473,2.1483,2.1438,2.1464,1749827400,108702
2.1466,2.1469,2.1368,2.1368,1749827100,81628
2.1372,2.1416,2.136,2.1395,1749826800,85641
2.139,2.1408,2.1373,2.1373,1749826500,152349
2.137,2.137,2.1287,2.1294,1749826200,84222
2.13,2.1341,2.1278,2.1337,1749825900,57659
2.1325,2.1355,2.1298,2.1337,1749825600,86734
2.1338,2.1338,2.1263,2.1286,1749825300,76584
2.1291,2.1302,2.1212,2.1232,1749825000,151945
2.1232,2.1301,2.1226,2.1284,1749824700,135256
2.1283,2.1319,2.1259,2.1319,1749824400,92632
2.1317,2.1337,2.129,2.1333,1749824100,67241
2.134,2.136,2.1316,2.1356,1749823800,51268
2.1366,2.1381,2.1336,2.1378,1749823500,93308
2.1357,2.1487,2.1357,2.1394,1749823200,99199
2.1389,2.144,2.137,2.141,1749822900,64745
2.141,2.1485,2.1392,2.1464,1749822600,33865
2.1472,2.1522,2.1441,2.1516,1749822300,50249
2.1518,2.1575,2.1514,2.156,1749822000,56687
2.1561,2.1571,2.1433,2.1459,1749821700,129214
2.1441,2.1476,2.14,2.1411,1749821400,55652
2.142,2.1452,2.1414,2.1416,1749821100,17118
2.1418,2.1436,2.1412,2.1422,1749820800,26162
2.1424,2.1474,2.1401,2.144,1749820500,85073
2.1445,2.1455,2.1418,2.1438,1749820200,42078
2.1435,2.1464,2.142,2.146,1749819900,85850
2.1474,2.1502,2.1455,2.15,1749819600,73135
2.1497,2.152,2.1475,2.1516,1749819300,28940
2.1506,2.155,2.1493,2.1542,1749819000,26237
2.154,2.1545,2.1512,2.1524,1749818700,15067
2.152,2.1571,2.1513,2.1543,1749818400,52480
2.1539,2.1596,2.1537,2.1587,1749818100,70677
2.1583,2.1618,2.1576,2.1586,1749817800,142997
2.1581,2.1593,2.1548,2.155,1749817500,75895
2.1566,2.1566,2.1507,2.1515,1749817200,38160
2.1515,2.157,2.1498,2.1555,1749816900,81035
2.1548,2.1568,2.1542,2.156,1749816600,20909
2.1565,2.1576,2.1524,2.157,1749816300,71842
2.1558,2.1568,2.1503,2.1537,1749816000,61412
2.1535,2.1554,2.1526,2.1535,1749815700,59979
2.1532,2.154,2.148,2.1489,1749815400,72111
2.149,2.1503,2.1485,2.1487,1749815100,57441
2.1485,2.1495,2.1453,2.1453,1749814800,32511
2.1447,2.1469,2.1422,2.1428,1749814500,17645
2.1415,2.1446,2.138,2.138,1749814200,29791
2.1385,2.1409,2.137,2.1401,1749813900,27260
2.1404,2.1441,2.1396,2.1437,1749813600,10904
2.1432,2.1456,2.1394,2.1432,1749813300,50478
2.1433,2.1494,2.141,2.1482,1749813000,61655
2.1481,2.15,2.1476,2.1498,1749812700,66312
