,time,volume,Timestamp,close,open,high,low,RF_BuySignal,RF_SellSignal,rsi_buy,rsi_sell,gaizy_color,GreenArrow,RedArrow
1970-01-01 00:00:00.000000524,1748820600,0,2025-06-01 23:30:00,2543.85,2540.810119465007,2543.85,2540.810119465007,0,0,False,False,black,False,False
1970-01-01 00:00:00.000000525,1748821500,916,2025-06-01 23:45:00,2534.025,2542.3300597325033,2542.3300597325033,2532.8,0,0,False,False,black,False,True
1970-01-01 00:00:00.000000526,1748822400,2057,2025-06-02 00:00:00,2536.575,2538.1775298662515,2538.1775298662515,2535.75,0,0,False,False,black,False,False
1970-01-01 00:00:00.000000527,1748823300,2087,2025-06-02 00:15:00,2533.1000000000004,2537.3762649331256,2537.3762649331256,2528.35,0,0,False,False,black,False,False
1970-01-01 00:00:00.000000528,1748824200,2595,2025-06-02 00:30:00,2530.4375,2535.238132466563,2535.238132466563,2525.5,0,0,False,False,black,False,False
1970-01-01 00:00:00.000000529,1748825100,2224,2025-06-02 00:45:00,2531.9750000000004,2532.8378162332815,2533.0,2529.8,0,0,False,False,black,False,False
1970-01-01 00:00:00.000000530,1748826000,2605,2025-06-02 01:00:00,2536.9125,2532.4064081166407,2540.45,2532.4064081166407,0,0,False,False,black,False,False
1970-01-01 00:00:00.000000531,1748826900,3984,2025-06-02 01:15:00,2533.9125,2534.65945405832,2540.3,2528.8,0,0,False,False,black,False,False
1970-01-01 00:00:00.000000532,1748827800,3521,2025-06-02 01:30:00,2527.55,2534.2859770291598,2534.2859770291598,2525.85,0,0,False,False,red,False,True
1970-01-01 00:00:00.000000533,1748828700,3171,2025-06-02 01:45:00,2526.5,2530.91798851458,2530.91798851458,2524.55,0,0,False,False,red,False,False
1970-01-01 00:00:00.000000534,1748829600,5961,2025-06-02 02:00:00,2520.9375,2528.70899425729,2528.70899425729,2515.7,0,1,False,False,red,False,True
1970-01-01 00:00:00.000000535,1748830500,7036,2025-06-02 02:15:00,2517.8875,2524.823247128645,2524.823247128645,2512.5,0,0,False,False,red,False,False
1970-01-01 00:00:00.000000536,1748831400,6005,2025-06-02 02:30:00,2518.6,2521.3553735643227,2522.1,2514.3,0,0,False,False,red,False,False
1970-01-01 00:00:00.000000537,1748832300,12266,2025-06-02 02:45:00,2513.625,2519.977686782161,2520.65,2505.45,0,0,False,False,red,False,True
1970-01-01 00:00:00.000000538,1748833200,23776,2025-06-02 03:00:00,2500.3875,2516.8013433910805,2516.8013433910805,2492.15,0,0,False,False,red,False,False
1970-01-01 00:00:00.000000539,1748834100,22765,2025-06-02 03:15:00,2491.6499999999996,2508.5944216955404,2508.5944216955404,2483.95,0,0,False,False,red,False,False
1970-01-01 00:00:00.000000540,1748835000,18114,2025-06-02 03:30:00,2496.0,2500.12221084777,2501.75,2490.0,0,0,False,False,black,False,False
1970-01-01 00:00:00.000000541,1748835900,10651,2025-06-02 03:45:00,2496.25,2498.0611054238852,2498.8,2493.0,0,0,False,False,black,False,False
1970-01-01 00:00:00.000000542,1748836800,9736,2025-06-02 04:00:00,2495.9625,2497.1555527119426,2498.0,2491.95,0,0,False,False,black,False,False
1970-01-01 00:00:00.000000543,1748837700,5632,2025-06-02 04:15:00,2497.7125,2496.5590263559716,2499.9,2495.4,0,0,True,False,black,False,False
1970-01-01 00:00:00.000000544,1748838600,4429,2025-06-02 04:30:00,2497.55,2497.1357631779856,2500.45,2495.75,0,0,False,False,black,False,False
1970-01-01 00:00:00.000000545,1748839500,17454,2025-06-02 04:45:00,2493.2375,2497.342881588993,2499.0,2485.95,0,0,False,False,black,False,False
1970-01-01 00:00:00.000000546,1748840400,5824,2025-06-02 05:00:00,2492.225,2495.2901907944965,2496.6,2485.95,0,0,False,False,black,False,False
1970-01-01 00:00:00.000000547,1748841300,4860,2025-06-02 05:15:00,2491.3999999999996,2493.757595397248,2493.9,2487.2,0,0,False,False,black,False,False
1970-01-01 00:00:00.000000548,1748842200,6821,2025-06-02 05:30:00,2490.0375000000004,2492.578797698624,2493.55,2486.65,0,0,False,False,black,False,False
1970-01-01 00:00:00.000000549,1748843100,12643,2025-06-02 05:45:00,2487.8,2491.308148849312,2493.3,2482.4,0,0,False,False,black,False,False
1970-01-01 00:00:00.000000550,1748844000,5205,2025-06-02 06:00:00,2491.2,2489.5540744246564,2493.3,2489.5540744246564,0,0,True,False,black,False,False
1970-01-01 00:00:00.000000551,1748844900,5361,2025-06-02 06:15:00,2492.2125,2490.377037212328,2494.65,2490.377037212328,0,0,False,False,black,False,False
1970-01-01 00:00:00.000000552,1748845800,9007,2025-06-02 06:30:00,2492.6625,2491.2947686061643,2494.65,2490.25,0,0,False,False,black,False,False
1970-01-01 00:00:00.000000553,1748846700,10183,2025-06-02 06:45:00,2493.0,2491.978634303082,2495.9,2489.95,0,0,False,False,black,False,False
1970-01-01 00:00:00.000000554,1748847600,16034,2025-06-02 07:00:00,2494.4875,2492.489317151541,2499.3,2489.4,0,0,False,False,black,False,False
1970-01-01 00:00:00.000000555,1748848500,21061,2025-06-02 07:15:00,2500.8,2493.4884085757703,2512.55,2489.4,0,0,False,False,black,True,False
1970-01-01 00:00:00.000000556,1748849400,11271,2025-06-02 07:30:00,2503.1125,2497.1442042878853,2506.25,2497.1442042878853,0,0,False,False,green,False,False
1970-01-01 00:00:00.000000557,1748850300,2642,2025-06-02 07:45:00,2504.625,2500.1283521439427,2506.6,2500.1283521439427,0,0,False,False,green,False,False
1970-01-01 00:00:00.000000558,1748851200,0,2025-06-02 08:00:00,2503.65,2502.3766760719714,2503.65,2502.3766760719714,0,0,False,False,green,False,False
1970-01-01 00:00:00.000000559,1748852100,7115,2025-06-02 08:15:00,2508.375,2503.0133380359857,2513.7,2502.95,1,0,False,False,green,False,False
1970-01-01 00:00:00.000000560,1748853000,21034,2025-06-02 08:30:00,2505.925,2505.694169017993,2514.8,2497.35,0,0,False,False,black,False,False
1970-01-01 00:00:00.000000561,1748853900,16198,2025-06-02 08:45:00,2495.3125,2505.8095845089965,2505.8095845089965,2489.55,0,0,False,False,black,False,True
1970-01-01 00:00:00.000000562,1748854800,31411,2025-06-02 09:00:00,2486.2625,2500.5610422544983,2500.5610422544983,2477.05,0,1,False,False,black,False,False
1970-01-01 00:00:00.000000563,1748855700,14111,2025-06-02 09:15:00,2481.45,2493.4117711272493,2493.4117711272493,2476.6,0,0,False,False,black,False,False
1970-01-01 00:00:00.000000564,1748856600,9575,2025-06-02 09:30:00,2482.2124999999996,2487.4308855636245,2488.35,2479.15,0,0,False,False,black,False,False
1970-01-01 00:00:00.000000565,1748857500,10022,2025-06-02 09:45:00,2479.0875,2484.821692781812,2484.821692781812,2474.0,0,0,False,False,black,False,False
1970-01-01 00:00:00.000000566,1748858400,12274,2025-06-02 10:00:00,2483.525,2481.954596390906,2488.6,2475.95,0,0,True,False,black,False,False
1970-01-01 00:00:00.000000567,1748859300,7869,2025-06-02 10:15:00,2483.1625,2482.7397981954527,2487.0,2477.25,0,0,False,False,black,False,False
1970-01-01 00:00:00.000000568,1748860200,5413,2025-06-02 10:30:00,2481.55,2482.9511490977266,2484.45,2477.0,0,0,False,False,black,False,False
