,Close,High,Low,Open,time,Volume,Timestamp,RSI,RSI_Smoothed,RSI_Momentum,Signal_Color,Long_Signal,Short_Signal,IsIB,BoxHigh,BoxLow,GreenArrow,RedArrow,BarColor,RF_UpperBand,RF_LowerBand,RF_Filter,RF_Trend,RF_BuySignal,RF_SellSignal
1970-01-01 00:00:00.000001210,103000.0,103040.0,102995.0,102995.0,1747482600,1497,2025-05-17 11:50:00,60.55667218183924,56.79528030819702,3.7613918736422107,STRONG_BULL,0,0,False,,,False,False,,103008.6298853917,102735.34157462788,102871.98573000976,1.0,0,0
1970-01-01 00:00:00.000001209,102995.0,103031.3,102950.3,102950.3,1747482300,2615,2025-05-17 11:45:00,59.75495768485251,58.27511899652477,1.479838688327746,STRONG_BULL,0,0,False,,,False,False,,103008.6298853917,102735.34157462788,102871.98573000976,1.0,0,0
1970-01-01 00:00:00.000001208,102955.7,102955.8,102930.1,102930.1,1747482000,1642,2025-05-17 11:40:00,53.56204544033777,55.91858221843127,-2.356536778093499,WEAK_BEAR,0,0,False,,,False,False,,103008.6298853917,102735.34157462788,102871.98573000976,1.0,0,0
1970-01-01 00:00:00.000001207,102928.4,102940.0,102850.0,102869.0,1747481700,3145,2025-05-17 11:35:00,49.594836847938375,52.75670953318482,-3.1618726852464505,WEAK_BEAR,0,0,False,,,False,False,,103008.6298853917,102735.34157462788,102871.98573000976,1.0,0,0
1970-01-01 00:00:00.000001206,102863.3,102863.3,102750.3,102750.3,1747481400,3422,2025-05-17 11:30:00,41.45868199484962,47.10769576401722,-5.6490137691675955,STRONG_BEAR,0,0,False,,,False,False,,103008.6298853917,102735.34157462788,102871.98573000976,1.0,0,0
1970-01-01 00:00:00.000001205,102750.2,102817.3,102726.6,102733.8,1747481100,2814,2025-05-17 11:25:00,31.487266610549668,39.297481187283445,-7.810214576733777,STRONG_BEAR,0,0,False,,,False,False,,102996.79427060013,102745.24719154263,102871.02073107136,-1.0,0,1
1970-01-01 00:00:00.000001204,102727.8,102786.6,102719.1,102735.8,1747480800,589,2025-05-17 11:20:00,29.90448654845774,34.600983867870596,-4.696497319412849,STRONG_BEAR,0,0,True,102817.3,102726.6,False,False,orange,102977.6193770512,102733.61573051421,102855.6175537827,-1.0,0,0
1970-01-01 00:00:00.000001203,102715.4,102775.2,102705.0,102717.3,1747480500,4238,2025-05-17 11:15:00,29.00761791970737,31.804300893788984,-2.7966829740816124,STRONG_BEAR,0,0,False,,,False,True,,102961.60953277198,102721.47191017139,102841.54072147168,-1.0,0,0
1970-01-01 00:00:00.000001202,102715.0,102725.6,102712.7,102719.9,1747480200,1090,2025-05-17 11:10:00,28.976469662508308,30.390385278148646,-1.413915615640338,STRONG_BEAR,0,0,True,102775.2,102705.0,False,False,orange,102953.41946581806,102717.15730339046,102835.28838460427,-1.0,0,0
1970-01-01 00:00:00.000001201,102719.9,102784.0,102712.6,102784.0,1747479900,2938,2025-05-17 11:05:00,29.99956476400922,30.194975021078932,-0.19541025706971382,STRONG_BEAR,0,0,False,,,False,False,,102953.41946581806,102717.15730339046,102835.28838460427,-1.0,0,0
