,time,volume,Timestamp,close,open,high,low,RF_BuySignal,RF_SellSignal,atr,GreenArrow,RedArrow,BarIndex,Signal_Final
1970-01-01 00:00:00.000001489,1749811800,51586,2025-06-13 10:50:00,2524.25,2525.6046810939965,2526.3,2521.55,0,0,8.064781883362912,False,False,11.0,0
1970-01-01 00:00:00.000001490,1749812100,100295,2025-06-13 10:55:00,2529.7375,2524.9273405469985,2533.7,2524.9273405469985,0,0,8.429067597648586,True,False,12.0,0
1970-01-01 00:00:00.000001491,1749812400,53763,2025-06-13 11:00:00,2532.325,2527.3324202734993,2534.7,2527.3324202734993,0,0,8.544609006684336,False,False,1.0,0
1970-01-01 00:00:00.000001492,1749812700,102183,2025-06-13 11:05:00,2535.3,2529.8287101367496,2538.15,2529.8287101367496,0,0,7.877335461556576,True,False,2.0,0
1970-01-01 00:00:00.000001493,1749813000,141697,2025-06-13 11:10:00,2531.825,2532.564355068375,2537.3,2525.15,0,0,8.059478318699414,False,False,1.0,0
1970-01-01 00:00:00.000001494,1749813300,78449,2025-06-13 11:15:00,2527.4750000000004,2532.1946775341876,2532.1946775341876,2523.4,0,0,7.912669571141383,False,True,2.0,0
1970-01-01 00:00:00.000001495,1749813600,45613,2025-06-13 11:20:00,2527.1125,2529.834838767094,2529.834838767094,2524.4,0,0,7.786586625933816,False,False,1.0,0
1970-01-01 00:00:00.000001496,1749813900,71643,2025-06-13 11:25:00,2524.675,2528.473669383547,2528.473669383547,2521.55,0,0,7.913277296187159,False,False,2.0,0
1970-01-01 00:00:00.000001497,1749814200,75947,2025-06-13 11:30:00,2525.6,2526.5743346917734,2531.15,2522.4,0,0,8.0418487247586,False,False,3.0,0
1970-01-01 00:00:00.000001498,1749814500,49799,2025-06-13 11:35:00,2526.4,2526.087167345887,2529.55,2523.0,0,0,8.23649158190145,False,False,4.0,0
1970-01-01 00:00:00.000001499,1749814800,73040,2025-06-13 11:40:00,2531.875,2526.2435836729437,2535.3,2526.2435836729437,0,0,8.186949890976914,False,False,5.0,0
1970-01-01 00:00:00.000001500,1749815100,62336,2025-06-13 11:45:00,2533.025,2529.059291836472,2535.25,2529.059291836472,0,0,7.940746813512662,True,False,6.0,0
1970-01-01 00:00:00.000001501,1749815400,112844,2025-06-13 11:50:00,2535.875,2531.042145918236,2542.45,2529.25,0,0,8.27958426894023,False,False,1.0,0
1970-01-01 00:00:00.000001502,1749815700,192705,2025-06-13 11:55:00,2542.2125,2533.458572959118,2545.15,2533.458572959118,0,0,8.4754004861461,False,False,1.0,0
1970-01-01 00:00:00.000001503,1749816000,268986,2025-06-13 12:00:00,2549.575,2537.835536479559,2558.25,2537.835536479559,0,0,9.592505023320493,True,False,2.0,0
1970-01-01 00:00:00.000001504,1749816300,185941,2025-06-13 12:05:00,2553.7875000000004,2543.7052682397793,2558.55,2543.7052682397793,0,0,9.977843006193423,False,False,1.0,0
