,Close,High,Low,Open,time,Volume,Timestamp,RSI,RSI_Smoothed,RSI_Momentum,Signal_Color,Long_Signal,Short_Signal,IsIB,BoxHigh,BoxLow,GreenArrow,RedArrow,BarColor,RF_UpperBand,RF_LowerBand,RF_Filter,RF_Trend,RF_BuySignal,RF_SellSignal
1970-01-01 00:00:00.000002137,105915.6,106107.7,105915.6,106060.7,1747761300,9400,2025-05-20 17:15:00,70.88666988138868,71.28594636595687,-0.39927648456820464,WEAK_BEAR,0,0,True,106142.6,105702.8,False,False,orange,105901.09151289481,105309.04559785457,105605.06855537472,1.0,0,0
1970-01-01 00:00:00.000002138,105929.8,106078.4,105914.0,105915.7,1747761600,4129,2025-05-20 17:20:00,71.1996371851142,71.24279177553554,-0.04315459042133796,WEAK_BEAR,0,0,True,106142.6,105702.8,False,False,orange,105901.09151289481,105309.04559785457,105605.06855537472,1.0,0,0
1970-01-01 00:00:00.000002139,106069.8,106127.1,105921.4,105921.4,1747761900,5233,2025-05-20 17:25:00,74.2338984903939,72.73834513296472,1.4955533574291877,STRONG_BULL,0,0,True,106142.6,105702.8,False,False,orange,105901.09151289481,105309.04559785457,105605.06855537472,1.0,0,0
1970-01-01 00:00:00.000002140,105978.5,106120.9,105944.0,106080.0,1747762200,4038,2025-05-20 17:30:00,68.96878397918618,70.85356455607545,-1.8847805768892698,WEAK_BEAR,0,0,True,106142.6,105702.8,False,False,orange,105901.09151289481,105309.04559785457,105605.06855537472,1.0,0,0
1970-01-01 00:00:00.000002141,106004.1,106114.1,105958.7,105958.7,1747762500,2084,2025-05-20 17:35:00,69.6396548500403,70.24660970305789,-0.6069548530175695,WEAK_BEAR,0,0,True,106142.6,105702.8,False,False,orange,105901.09151289481,105309.04559785457,105605.06855537472,1.0,0,0
1970-01-01 00:00:00.000002142,106149.7,106163.0,105992.9,105992.9,1747762800,2281,2025-05-20 17:40:00,73.28895747581977,71.76778358943884,1.52117388638095,STRONG_BULL,0,0,False,,,True,False,,106066.83050429827,105450.08617346719,105758.45833888275,1.0,0,0
1970-01-01 00:00:00.000002143,106245.1,106270.0,106123.3,106157.8,1747763100,6741,2025-05-20 17:45:00,75.43830207853273,73.60304283398578,1.8352592445469469,STRONG_BULL,0,0,False,,,False,False,,106185.67683476608,105561.40765849728,105873.5422466317,1.0,0,0
1970-01-01 00:00:00.000002144,106210.0,106293.1,106157.0,106216.3,1747763400,4654,2025-05-20 17:50:00,73.03578145090438,73.31941214244509,-0.28363069154069365,WEAK_BEAR,0,0,True,106270.0,106123.3,False,False,orange,106185.67683476608,105561.40765849728,105873.5422466317,1.0,0,0
1970-01-01 00:00:00.000002145,106153.6,106210.1,106124.1,106196.5,1747763700,3835,2025-05-20 17:55:00,69.10641046881709,71.21291130563108,-2.106500836814007,WEAK_BEAR,0,0,False,,,False,False,,106185.67683476608,105561.40765849728,105873.5422466317,1.0,0,0
1970-01-01 00:00:00.000002146,106198.9,106213.5,106052.6,106191.1,1747764000,3840,2025-05-20 18:00:00,70.5217655563938,70.86733843101244,-0.3455728746186395,WEAK_BEAR,0,0,True,106210.1,106124.1,False,False,orange,106185.67683476608,105561.40765849728,105873.5422466317,1.0,0,0
1970-01-01 00:00:00.000002147,106264.3,106324.8,106201.6,106201.6,1747764300,3825,2025-05-20 18:05:00,72.53983980941474,71.70358912021359,0.836250689201151,STRONG_BULL,0,0,False,,,True,False,,106238.09227825537,105632.51108328576,105935.30168077056,1.0,0,0
1970-01-01 00:00:00.000002148,106222.6,106375.8,106222.6,106300.9,1747764600,5937,2025-05-20 18:10:00,69.18432486368839,70.44395699195098,-1.2596321282626093,WEAK_BEAR,0,0,True,106324.8,106201.6,False,False,orange,106238.09227825537,105632.51108328576,105935.30168077056,1.0,0,0
1970-01-01 00:00:00.000002149,106174.2,106277.1,106047.3,106211.0,1747764900,2743,2025-05-20 18:15:00,65.2894594479129,67.86670821993195,-2.5772487720190327,WEAK_BEAR,0,0,False,,,False,True,,106238.09227825537,105632.51108328576,105935.30168077056,1.0,0,0
1970-01-01 00:00:00.000002150,105910.4,106163.2,105811.1,106137.6,1747765200,5986,2025-05-20 18:20:00,48.68950125221983,58.27810473607589,-9.588603483856062,WEAK_BEAR,0,0,False,,,False,False,,106238.09227825537,105632.51108328576,105935.30168077056,1.0,0,0
1970-01-01 00:00:00.000002151,105736.8,106047.1,105693.5,105906.5,1747765500,5879,2025-05-20 18:25:00,41.056752954907424,49.667428845491656,-8.610675890584233,STRONG_BEAR,0,1,False,,,False,False,,106238.09227825537,105632.51108328576,105935.30168077056,1.0,0,0
1970-01-01 00:00:00.000002152,105851.7,105851.7,105619.7,105686.3,1747765800,9082,2025-05-20 18:30:00,47.149617817543174,48.408523331517415,-1.2589055139742413,STRONG_BEAR,0,0,False,,,False,False,,106238.09227825537,105632.51108328576,105935.30168077056,1.0,0,0
